,Name,Age,Country,Role,Matches,Experience ( in Yrs),Runs,Strike_Rate,Wickets,Economy,Average,Team_Preference,Auction_Price_Simulated ( in Cr )
2964,Manoj Mehta,30,India,Bowler,45,3,1572,106.7,506,5.66,48.56,PBKS,13.5
2965,Sameer Mehta,30,South Africa,Wicketkeeper,35,2,5598,143.2,0,0.0,37.02,PBKS,8.78
2966,Nikhil Khan,29,West Indies,Bowler,136,7,882,133.3,408,5.13,30.09,PBKS,11.55
2967,Irfan Reddy,42,West Indies,Wicketkeeper,507,18,10617,109.2,0,0.0,45.57,GT,16.2
2968,Ankit Khan,32,India,Bowler,227,10,497,100.7,332,4.15,20.24,RR,10.71
2969,Arjun Malik,26,India,Batter,51,3,8363,99.1,6,6.54,54.85,SRH,11.75
2970,Harshit Mehta,37,India,Bowler,319,17,1648,104.0,90,5.1,28.43,MI,8.86
2971,Rohan Verma,18,Sri Lanka,Batter,27,1,5405,126.2,2,9.28,32.77,CSK,7.05
2972,Irfan Verma,27,India,Batter,73,4,7923,118.7,3,9.06,31.73,PBKS,9.42
2973,Ankit Iyer,18,Sri Lanka,Wicketkeeper,19,1,3043,107.4,0,0.0,33.22,GT,7.87
2974,Pranav Singh,36,Australia,Wicketkeeper,351,18,4718,114.0,0,0.0,43.71,RR,13.68
2975,Nikhil Deshmukh,27,India,Allrounder,20,1,3413,129.6,212,6.01,22.31,RCB,9.87
2976,Manoj Reddy,25,India,Wicketkeeper,23,1,11653,106.5,0,0.0,34.26,PBKS,13.53
2977,Sameer Mehta,37,India,Bowler,361,13,3511,117.6,458,7.56,43.24,GT,13.63
2978,Sameer Sharma,30,Sri Lanka,Bowler,228,9,1007,102.6,723,4.97,22.05,MI,16.5
2979,Manoj Patel,18,South Africa,Wicketkeeper,25,1,10369,113.3,0,0.0,25.52,GT,9.61
2980,Rohan Yadav,22,Sri Lanka,Batter,61,3,4974,140.6,5,6.61,20.55,SRH,8.11
2981,Pranav Yadav,28,England,Batter,114,4,9630,117.8,3,7.95,37.73,LSG,13.0
2982,Karthik Naidu,18,India,Wicketkeeper,17,1,10631,128.8,0,0.0,30.97,KKR,12.52
2983,Manoj Patel,29,India,Bowler,16,1,600,139.0,791,5.12,50.49,PBKS,15.72
2984,Nikhil Yadav,28,Sri Lanka,Batter,199,10,6440,100.9,14,6.67,51.42,GT,9.23
2985,Aditya Iyer,19,Australia,Allrounder,23,1,8435,128.1,269,6.22,32.58,SRH,9.17
2986,Harshit Verma,27,South Africa,Batter,141,9,10273,130.4,13,6.44,38.38,LSG,13.15
2987,Rahul Khan,22,Sri Lanka,Allrounder,43,2,4132,122.1,79,5.71,47.89,CSK,8.48
2988,Harshit Naidu,42,West Indies,Batter,482,20,4471,100.8,15,8.07,39.18,CSK,11.19
2989,Irfan Chopra,40,England,Bowler,130,8,1097,142.6,440,6.67,42.02,PBKS,13.2
2990,Amit Mehta,30,West Indies,Allrounder,110,4,4400,137.6,300,5.53,43.71,MI,13.33
2991,Arjun Deshmukh,18,India,Allrounder,25,1,8833,119.7,467,5.09,31.65,MI,14.08
2992,Aditya Shetty,32,South Africa,Allrounder,121,5,3538,108.0,348,7.34,40.68,PBKS,10.4
2993,Amit Kulkarni,39,Sri Lanka,Wicketkeeper,60,4,3328,149.8,0,0.0,47.92,LSG,8.29
2994,Sameer Malik,27,Australia,Bowler,25,1,3656,153.7,399,7.5,20.37,CSK,7.16
2995,Amit Shetty,21,West Indies,Allrounder,54,3,2959,119.8,81,7.18,50.09,KKR,7.8
2996,Nikhil Reddy,35,India,Bowler,16,1,977,153.9,606,4.96,41.48,RR,13.23
2997,Pranav Verma,29,Sri Lanka,Wicketkeeper,138,9,4983,142.6,0,0.0,23.0,CSK,8.54
2998,Nikhil Deshmukh,30,India,Bowler,138,6,1157,140.5,788,4.7,20.77,DC,17.54
2999,Irfan Yadav,31,England,Bowler,286,12,541,95.8,284,7.1,43.0,KKR,10.29
3000,Rohan Verma,19,West Indies,Wicketkeeper,16,1,9577,116.9,0,0.0,41.4,CSK,7.47
3001,Amit Mehta,33,India,Wicketkeeper,18,1,4018,136.8,0,0.0,31.99,RCB,7.68
3002,Rahul Patel,35,India,Bowler,249,10,1550,99.2,182,4.41,40.61,KKR,10.74
3003,Arjun Singh,21,India,Allrounder,40,2,2835,139.5,449,6.82,37.84,GT,13.93
3004,Pranav Patel,30,South Africa,Bowler,62,4,1209,118.9,545,5.61,20.93,MI,11.91
3005,Amit Singh,39,Sri Lanka,Bowler,176,6,28,153.6,567,5.28,50.57,KKR,11.23
3006,Aditya Verma,33,Sri Lanka,Allrounder,82,5,8574,130.3,312,6.15,49.66,SRH,13.16
3007,Rahul Naidu,39,Australia,Bowler,124,5,3055,96.1,155,5.68,22.61,MI,4.91
3008,Aditya Yadav,37,Australia,Allrounder,500,19,8679,153.2,445,6.79,44.26,PBKS,20.0
3009,Manoj Iyer,33,India,Wicketkeeper,258,13,7852,99.3,0,0.0,26.63,RR,12.46
3010,Sameer Sharma,40,India,Wicketkeeper,291,19,4758,141.3,0,0.0,49.45,DC,14.41
3011,Aditya Chopra,41,India,Batter,228,13,9127,133.7,15,8.16,20.99,SRH,15.41
3012,Vikas Khan,35,West Indies,Batter,327,15,3793,142.3,10,8.9,29.07,RR,9.97
3013,Amit Reddy,19,India,Bowler,28,1,3396,107.9,88,6.69,21.41,RR,3.96
3014,Aditya Chopra,29,South Africa,Bowler,23,1,3430,105.7,88,4.76,31.82,MI,5.0
3015,Amit Malik,37,India,Batter,330,18,5701,125.5,1,7.46,36.69,KKR,15.34
3016,Sandeep Singh,41,India,Batter,197,8,7297,96.8,10,6.95,41.18,RCB,9.58
3017,Harshit Singh,23,Sri Lanka,Wicketkeeper,52,2,8507,118.7,0,0.0,30.45,PBKS,6.07
3018,Nikhil Kulkarni,25,South Africa,Batter,110,7,3811,139.8,13,9.03,50.02,RCB,9.04
3019,Ankit Khan,19,Australia,Wicketkeeper,25,1,6723,124.7,0,0.0,24.58,LSG,8.49
3020,Ankit Verma,26,Australia,Batter,89,3,7674,107.4,10,8.44,35.44,GT,10.71
3021,Rahul Chopra,25,West Indies,Batter,90,5,14769,144.5,12,6.23,24.41,CSK,14.2
3022,Arjun Yadav,29,Australia,Allrounder,249,11,4761,146.9,247,8.16,36.26,SRH,12.26
3023,Sandeep Patel,23,Sri Lanka,Allrounder,31,2,4079,132.2,398,7.61,48.11,LSG,11.65
3024,Vikas Shetty,31,India,Batter,208,7,9881,142.1,4,7.51,36.19,RR,12.82
3025,Amit Naidu,27,Australia,Wicketkeeper,249,9,5027,151.5,0,0.0,37.02,CSK,11.65
3026,Amit Iyer,42,England,Wicketkeeper,414,14,3530,122.8,0,0.0,47.48,KKR,12.45
3027,Amit Patel,29,India,Allrounder,136,9,2055,128.3,265,7.88,26.29,DC,11.82
3028,Manoj Naidu,25,England,Batter,144,6,3884,153.1,11,7.64,46.35,MI,9.65
3029,Ankit Iyer,34,Australia,Batter,302,15,4229,97.0,6,8.84,36.38,RCB,10.18
3030,Rohan Naidu,25,Australia,Allrounder,82,5,7313,144.8,232,7.26,21.72,PBKS,7.86
3031,Rahul Kulkarni,26,Sri Lanka,Bowler,164,6,222,127.9,406,7.24,26.91,DC,9.24
3032,Nikhil Khan,41,West Indies,Batter,388,15,12430,111.9,12,7.11,38.58,MI,16.84
3033,Irfan Deshmukh,31,India,Allrounder,289,12,4204,104.5,238,5.18,48.44,RR,13.36
3034,Vikas Khan,21,Sri Lanka,Bowler,61,3,2569,109.0,766,4.5,35.87,DC,14.27
3035,Arjun Sharma,35,Sri Lanka,Wicketkeeper,237,15,5543,126.0,0,0.0,46.73,DC,12.69
3036,Irfan Naidu,25,West Indies,Wicketkeeper,123,6,6503,121.8,0,0.0,47.65,MI,10.17
3037,Sandeep Sharma,18,England,Bowler,28,1,2002,101.8,327,6.35,25.47,PBKS,7.29
3038,Aditya Deshmukh,24,Sri Lanka,Bowler,36,2,3220,118.8,778,5.66,46.02,PBKS,12.61
3039,Rohan Verma,22,India,Wicketkeeper,57,2,11686,129.8,0,0.0,33.58,CSK,12.87
3040,Harshit Iyer,22,Sri Lanka,Bowler,69,3,2528,108.6,687,4.65,40.14,RR,14.07
3041,Sandeep Naidu,38,India,Allrounder,169,6,7309,125.9,121,6.48,25.97,LSG,12.11
3042,Pranav Iyer,25,India,Allrounder,120,6,7119,146.2,133,7.32,29.03,CSK,11.49
3043,Aditya Sharma,18,South Africa,Allrounder,21,1,3367,153.5,429,6.72,31.66,MI,10.27
3044,Rohan Iyer,23,Australia,Allrounder,138,5,6905,100.4,76,7.08,41.21,KKR,10.44
3045,Sameer Mehta,37,Sri Lanka,Bowler,454,19,3358,152.6,408,4.34,45.05,CSK,13.65
3046,Aditya Singh,20,South Africa,Allrounder,31,2,8994,137.2,266,7.76,40.64,RCB,12.15
3047,Vikas Chopra,28,India,Batter,108,7,3061,146.5,12,7.57,53.49,KKR,10.8
3048,Pranav Iyer,27,South Africa,Bowler,100,4,2968,150.9,877,5.9,40.42,RCB,16.53
3049,Karthik Naidu,22,India,Wicketkeeper,36,2,3735,127.3,0,0.0,35.91,LSG,10.07
3050,Manoj Reddy,31,Sri Lanka,Batter,187,12,10257,95.2,0,6.73,28.45,SRH,10.41
3051,Amit Yadav,24,India,Allrounder,117,5,6532,117.8,200,6.78,35.7,RR,11.08
3052,Sandeep Kulkarni,23,India,Allrounder,79,5,6745,116.0,282,8.43,35.83,SRH,11.28
3053,Sandeep Khan,40,Australia,Batter,154,10,14065,97.9,13,6.47,47.14,LSG,13.36
3054,Arjun Iyer,33,Sri Lanka,Allrounder,302,13,2628,140.6,230,7.0,25.25,RR,14.35
3055,Irfan Iyer,36,India,Wicketkeeper,22,1,9132,129.3,0,0.0,28.88,CSK,9.89
3056,Pranav Malik,24,Australia,Allrounder,127,5,7471,95.7,76,5.8,24.56,RR,8.84
3057,Ankit Mehta,27,India,Allrounder,133,8,5782,102.0,151,6.08,54.51,LSG,12.65
3058,Irfan Mehta,36,Australia,Allrounder,393,16,8986,102.8,401,6.08,26.97,MI,14.85
3059,Nikhil Deshmukh,34,England,Batter,418,14,8137,98.8,0,8.06,50.19,PBKS,13.84
3060,Irfan Reddy,27,Australia,Bowler,73,4,522,109.8,214,7.65,35.75,RR,6.8
3061,Sameer Reddy,41,India,Allrounder,132,8,2785,133.4,407,5.08,34.49,MI,12.5
3062,Ankit Mehta,35,West Indies,Batter,66,3,6735,107.4,8,6.95,42.89,SRH,8.51
3063,Sandeep Kulkarni,18,South Africa,Batter,20,1,5252,105.8,6,7.46,44.12,LSG,6.18
3064,Karthik Verma,36,India,Allrounder,429,17,4757,146.5,406,6.98,24.11,RCB,15.56
3065,Rahul Malik,32,West Indies,Wicketkeeper,314,12,4815,142.1,0,0.0,43.57,GT,13.18
3066,Arjun Kulkarni,22,Sri Lanka,Wicketkeeper,31,2,7903,101.9,0,0.0,44.32,GT,11.0
3067,Rahul Reddy,39,India,Allrounder,466,18,7214,151.7,79,6.55,24.96,GT,16.52
3068,Nikhil Kulkarni,41,South Africa,Allrounder,144,7,5330,117.9,422,7.25,53.49,DC,12.34
3069,Manoj Sharma,36,West Indies,Allrounder,489,18,7125,152.7,267,6.15,51.55,DC,18.6
3070,Vikas Khan,37,India,Wicketkeeper,135,9,9787,111.2,0,0.0,48.12,GT,12.0
3071,Harshit Patel,22,West Indies,Wicketkeeper,31,2,11903,154.7,0,0.0,28.84,CSK,14.3
3072,Manoj Reddy,22,India,Batter,66,4,9859,126.2,10,7.53,30.32,RCB,12.41
3073,Pranav Chopra,29,Australia,Wicketkeeper,132,6,10679,95.9,0,0.0,27.7,RR,13.18
3074,Ankit Singh,39,Sri Lanka,Wicketkeeper,435,17,4136,111.9,0,0.0,35.53,DC,11.49
3075,Manoj Verma,23,India,Wicketkeeper,48,3,8831,105.3,0,0.0,50.56,CSK,13.73
3076,Arjun Shetty,34,West Indies,Allrounder,444,15,2587,100.1,189,7.47,42.75,RR,13.9
3077,Rahul Reddy,39,England,Allrounder,38,2,4163,152.4,94,7.29,20.11,RR,8.22
3078,Irfan Verma,22,India,Allrounder,54,2,5696,150.7,341,5.87,52.62,SRH,13.39
3079,Amit Iyer,37,India,Allrounder,375,16,4830,140.9,313,7.52,23.2,KKR,15.4
3080,Irfan Singh,31,India,Bowler,17,1,1853,108.9,100,5.95,26.34,LSG,7.74
3081,Amit Khan,25,Australia,Bowler,111,4,3836,103.1,354,7.08,36.4,PBKS,9.07
3082,Amit Iyer,22,England,Wicketkeeper,53,2,3294,151.3,0,0.0,26.5,CSK,5.24
3083,Nikhil Shetty,35,India,Batter,147,8,7409,154.7,0,9.42,39.45,SRH,12.08
3084,Irfan Mehta,36,Sri Lanka,Batter,420,14,12434,114.0,15,6.6,34.86,LSG,16.5
3085,Sandeep Chopra,22,India,Allrounder,58,3,4470,111.8,239,6.08,54.03,SRH,11.51
3086,Rohan Singh,37,Sri Lanka,Batter,187,9,8798,139.0,12,6.54,20.01,CSK,11.74
3087,Rohan Chopra,42,England,Wicketkeeper,600,23,6149,130.8,0,0.0,52.06,CSK,18.53
3088,Sameer Singh,36,West Indies,Batter,146,9,5299,106.1,13,7.01,42.81,PBKS,6.82
3089,Rohan Iyer,18,India,Allrounder,17,1,4398,136.3,311,7.49,31.18,CSK,10.39
3090,Arjun Verma,37,India,Allrounder,134,5,3066,152.4,472,5.88,52.32,PBKS,11.93
3091,Vikas Patel,27,Sri Lanka,Batter,87,3,10533,145.8,15,7.6,35.83,PBKS,13.54
3092,Karthik Singh,27,England,Wicketkeeper,164,9,7558,120.5,0,0.0,25.49,PBKS,10.89
3093,Sameer Kulkarni,20,India,Allrounder,36,2,1530,127.2,296,6.49,20.79,GT,9.79
3094,Harshit Kulkarni,34,South Africa,Allrounder,140,5,8102,141.9,181,6.55,43.8,GT,10.93
3095,Sandeep Yadav,21,India,Wicketkeeper,72,3,3010,133.1,0,0.0,51.83,KKR,11.12
3096,Aditya Chopra,41,Australia,Allrounder,399,21,5262,128.4,255,5.06,47.56,RR,17.05
3097,Rahul Malik,33,India,Bowler,75,5,1572,114.4,492,6.06,24.77,LSG,12.59
3098,Pranav Kulkarni,23,England,Bowler,86,5,3325,123.2,622,7.37,50.73,MI,11.75
3099,Arjun Chopra,42,Australia,Wicketkeeper,54,3,8750,130.2,0,0.0,43.6,RCB,10.91
3100,Manoj Mehta,29,India,Allrounder,143,6,2751,134.5,160,7.81,33.93,GT,10.04
3101,Vikas Kulkarni,22,India,Bowler,88,4,2558,143.2,594,5.95,33.08,LSG,14.47
3102,Sameer Iyer,36,Sri Lanka,Bowler,16,1,147,100.7,805,5.47,52.01,KKR,15.26
3103,Irfan Verma,42,Sri Lanka,Allrounder,224,14,6997,133.9,494,5.32,34.46,GT,16.44
3104,Karthik Mehta,35,Australia,Wicketkeeper,153,9,9793,119.3,0,0.0,43.78,DC,11.64
3105,Ankit Yadav,31,West Indies,Allrounder,129,8,8205,130.6,489,5.23,47.02,PBKS,15.3
3106,Aditya Yadav,35,West Indies,Wicketkeeper,32,2,8279,144.7,0,0.0,25.97,LSG,8.21
3107,Karthik Mehta,36,West Indies,Allrounder,82,3,3978,134.4,229,8.14,50.86,CSK,10.13
3108,Manoj Malik,34,India,Bowler,324,13,1079,127.5,643,5.84,52.17,GT,17.98
3109,Vikas Chopra,34,India,Wicketkeeper,229,15,10347,149.0,0,0.0,35.69,CSK,14.22
3110,Vikas Mehta,30,India,Bowler,35,2,469,118.6,726,5.04,33.57,RR,13.22
3111,Pranav Malik,39,India,Batter,580,20,11959,111.1,3,7.0,50.14,DC,20.0
3112,Arjun Shetty,22,India,Batter,101,4,11002,135.7,0,6.24,26.05,RCB,13.06
3113,Irfan Patel,30,Sri Lanka,Batter,180,7,5161,98.7,7,7.21,29.45,CSK,7.11
3114,Nikhil Chopra,33,South Africa,Bowler,336,13,2485,148.1,316,6.92,27.75,RCB,12.29
3115,Pranav Verma,25,Sri Lanka,Wicketkeeper,47,3,6474,122.8,0,0.0,36.46,PBKS,9.28
3116,Manoj Naidu,40,Sri Lanka,Batter,295,11,13062,140.8,13,9.06,37.96,DC,16.12
3117,Ankit Singh,34,India,Bowler,222,8,1994,145.8,532,6.55,20.33,LSG,13.18
3118,Harshit Iyer,25,India,Batter,131,6,8394,149.4,10,7.41,45.91,KKR,15.33
3119,Karthik Kulkarni,38,England,Allrounder,34,2,6773,126.8,87,6.9,32.17,CSK,10.32
3120,Arjun Verma,34,Australia,Bowler,251,16,1274,134.3,456,5.98,34.64,SRH,12.7
3121,Rahul Verma,34,Australia,Batter,166,7,3842,146.7,3,8.5,25.41,MI,8.3
3122,Pranav Shetty,42,India,Bowler,100,5,1640,119.5,628,5.72,44.06,DC,14.17
3123,Pranav Shetty,32,West Indies,Allrounder,49,2,2111,133.4,420,5.87,50.71,RR,10.16
3124,Nikhil Naidu,19,India,Wicketkeeper,19,1,6303,120.1,0,0.0,51.89,GT,9.84
3125,Ankit Reddy,38,Australia,Allrounder,217,10,4875,101.4,282,8.48,28.16,GT,11.53
3126,Sameer Shetty,36,South Africa,Batter,259,10,7885,152.5,0,9.33,23.42,KKR,10.43
3127,Sandeep Mehta,20,Sri Lanka,Bowler,36,2,3106,104.7,590,4.06,54.86,DC,13.62
3128,Ankit Mehta,34,England,Batter,162,7,14573,125.2,5,6.63,49.69,LSG,15.97
3129,Vikas Patel,37,South Africa,Wicketkeeper,146,5,5914,96.2,0,0.0,41.16,GT,8.31
3130,Nikhil Malik,40,England,Bowler,47,2,1508,146.7,802,5.05,29.92,MI,13.77
3131,Irfan Yadav,39,India,Bowler,226,10,370,135.5,464,6.61,27.75,KKR,13.02
3132,Arjun Singh,41,West Indies,Batter,243,12,12553,119.6,13,6.12,30.12,SRH,12.42
3133,Sameer Yadav,30,Australia,Wicketkeeper,27,1,10215,143.5,0,0.0,48.01,SRH,13.68
3134,Sandeep Deshmukh,40,England,Wicketkeeper,226,9,11425,122.4,0,0.0,41.23,MI,13.88
3135,Rohan Deshmukh,27,India,Wicketkeeper,43,2,3542,131.3,0,0.0,48.95,PBKS,10.16
3136,Amit Iyer,32,India,Allrounder,18,1,4813,111.5,329,6.49,29.28,RCB,11.66
3137,Sameer Patel,35,Australia,Allrounder,62,3,6969,121.9,285,6.88,35.4,KKR,9.17
3138,Aditya Mehta,30,West Indies,Batter,232,12,14370,138.1,15,6.32,27.48,SRH,17.31
3139,Aditya Iyer,32,India,Batter,143,5,9636,119.8,9,6.69,27.97,PBKS,12.39
3140,Vikas Shetty,39,India,Bowler,532,21,3939,117.3,729,6.22,35.71,CSK,20.0
3141,Aditya Malik,29,India,Wicketkeeper,21,1,9309,127.2,0,0.0,27.12,RCB,8.72
3142,Rahul Mehta,30,South Africa,Wicketkeeper,172,8,9635,104.3,0,0.0,50.81,RR,12.46
3143,Ankit Deshmukh,20,India,Bowler,23,1,712,119.7,112,5.65,21.25,RR,5.56
3144,Pranav Deshmukh,22,Australia,Bowler,49,2,2410,128.3,637,5.89,39.56,KKR,12.42
3145,Aditya Naidu,19,West Indies,Bowler,22,1,3649,105.6,511,6.69,28.83,RR,9.88
3146,Rahul Naidu,33,India,Batter,131,6,5453,151.8,9,8.84,24.76,LSG,10.31
3147,Rohan Verma,26,India,Batter,132,7,7019,107.9,11,7.74,22.1,CSK,9.72
3148,Irfan Reddy,20,South Africa,Allrounder,58,2,4016,103.6,111,6.14,44.85,DC,7.79
3149,Arjun Reddy,30,Sri Lanka,Batter,19,1,9219,103.6,6,7.87,20.32,KKR,7.29
3150,Sameer Mehta,20,England,Wicketkeeper,48,2,5087,143.5,0,0.0,26.17,DC,9.12
3151,Pranav Naidu,38,Australia,Wicketkeeper,101,6,7392,131.4,0,0.0,31.79,RR,9.61
3152,Vikas Khan,37,England,Batter,30,2,5931,113.9,10,8.05,23.04,GT,3.26
3153,Irfan Khan,28,Australia,Bowler,59,2,2798,106.3,341,4.85,34.98,SRH,8.75
3154,Sandeep Iyer,35,West Indies,Wicketkeeper,253,13,11882,134.5,0,0.0,29.23,GT,13.77
3155,Harshit Yadav,18,India,Wicketkeeper,23,1,8417,95.7,0,0.0,38.16,KKR,7.68
3156,Ankit Kulkarni,26,Australia,Batter,179,7,6243,152.8,4,8.12,40.63,LSG,10.39
3157,Rohan Deshmukh,29,Sri Lanka,Batter,46,2,11471,129.4,14,7.65,52.48,PBKS,12.96
3158,Rahul Iyer,36,Australia,Bowler,168,11,2388,114.4,409,7.15,28.3,CSK,12.11
3159,Karthik Kulkarni,27,South Africa,Wicketkeeper,66,4,10918,110.8,0,0.0,37.65,RR,11.81
3160,Arjun Sharma,24,India,Allrounder,30,1,3492,125.2,83,7.6,22.37,CSK,7.45
3161,Ankit Patel,27,Australia,Batter,74,4,10096,143.4,15,8.53,30.13,MI,12.47
3162,Pranav Patel,35,Sri Lanka,Bowler,414,14,2246,120.6,159,6.52,51.12,CSK,10.36
3163,Amit Mehta,35,West Indies,Batter,306,15,9934,126.5,9,8.96,44.2,RR,14.27
3164,Irfan Sharma,22,West Indies,Wicketkeeper,86,3,2537,148.0,0,0.0,37.35,RR,6.63
3165,Vikas Khan,22,England,Bowler,120,4,1078,140.2,263,5.19,27.7,MI,6.47
3166,Manoj Sharma,40,India,Batter,129,7,3888,146.9,5,7.36,45.35,CSK,10.33
3167,Pranav Deshmukh,34,India,Allrounder,382,14,4174,107.9,465,6.41,32.46,DC,16.57
3168,Aditya Patel,22,Australia,Allrounder,55,2,2756,105.6,53,5.99,46.02,MI,7.16
3169,Amit Patel,30,India,Wicketkeeper,137,7,7738,110.1,0,0.0,35.9,DC,11.52
3170,Amit Patel,41,South Africa,Bowler,412,19,842,153.9,837,5.47,33.69,RR,18.6
3171,Sandeep Malik,34,Australia,Bowler,79,5,129,100.4,407,4.3,40.68,RCB,10.96
3172,Sandeep Kulkarni,25,India,Bowler,152,7,1547,120.1,223,6.28,35.11,RCB,8.21
3173,Pranav Deshmukh,38,India,Batter,17,1,4865,126.0,6,6.19,37.67,PBKS,9.44
3174,Vikas Mehta,26,India,Bowler,104,5,2628,101.2,258,4.57,24.33,MI,9.1
3175,Rahul Shetty,29,India,Wicketkeeper,60,3,6664,101.1,0,0.0,41.34,KKR,9.27
3176,Ankit Iyer,28,Australia,Allrounder,128,7,5600,110.1,244,5.69,26.08,KKR,9.2
3177,Manoj Shetty,27,India,Wicketkeeper,108,5,10888,152.5,0,0.0,49.91,CSK,14.81
3178,Rohan Iyer,31,England,Bowler,136,7,1791,114.7,848,4.88,27.35,CSK,17.53
3179,Pranav Khan,32,Australia,Wicketkeeper,311,11,11513,124.5,0,0.0,20.69,KKR,15.21
3180,Nikhil Naidu,38,England,Bowler,283,12,3419,126.4,872,6.55,51.45,KKR,19.04
3181,Manoj Reddy,20,England,Bowler,48,2,3469,143.2,147,4.62,47.72,DC,7.4
3182,Sandeep Singh,26,West Indies,Wicketkeeper,127,8,9324,102.6,0,0.0,33.95,KKR,9.82
3183,Rohan Naidu,31,India,Batter,106,5,9624,110.3,11,6.6,29.21,DC,11.69
3184,Harshit Verma,23,South Africa,Wicketkeeper,65,3,6322,128.4,0,0.0,34.4,RR,8.13
3185,Sandeep Shetty,28,West Indies,Wicketkeeper,116,4,8055,151.9,0,0.0,24.42,PBKS,12.93
3186,Rohan Yadav,41,Sri Lanka,Bowler,238,8,2426,108.8,234,7.7,47.05,RR,6.86
3187,Karthik Patel,27,Sri Lanka,Allrounder,57,2,6782,103.6,397,6.19,50.03,RCB,12.6
3188,Ankit Verma,31,Australia,Bowler,86,4,2246,134.5,416,5.17,39.83,KKR,11.5
3189,Pranav Mehta,34,South Africa,Bowler,410,14,414,124.7,482,5.79,45.63,CSK,17.18
3190,Rohan Mehta,41,India,Bowler,309,18,1700,135.1,178,4.33,51.35,LSG,12.25
3191,Rahul Reddy,29,India,Batter,104,4,10567,103.4,2,6.2,45.08,GT,14.01
3192,Karthik Shetty,18,Sri Lanka,Batter,19,1,9218,119.2,1,7.53,24.79,KKR,11.49
3193,Harshit Malik,33,India,Bowler,250,12,2196,102.6,708,5.93,36.68,CSK,16.47
3194,Arjun Khan,31,South Africa,Batter,213,8,7507,110.5,6,8.67,36.83,RCB,9.28
3195,Rohan Reddy,21,Australia,Batter,29,1,9502,136.2,5,9.47,49.45,KKR,8.76
3196,Aditya Mehta,28,South Africa,Bowler,112,5,1410,141.1,848,5.58,21.42,RCB,16.65
3197,Nikhil Patel,30,India,Bowler,107,4,3812,107.2,679,4.47,34.07,LSG,13.28
3198,Vikas Reddy,36,Australia,Batter,279,10,13894,115.8,2,8.96,42.91,PBKS,15.61
3199,Pranav Reddy,39,Australia,Bowler,96,4,1884,130.2,170,6.7,32.5,RR,6.74
3200,Pranav Sharma,37,West Indies,Wicketkeeper,267,14,6079,129.6,0,0.0,31.98,RR,12.19
3201,Amit Patel,28,India,Batter,70,4,8732,154.6,0,6.29,24.45,RR,13.3
3202,Nikhil Mehta,21,India,Bowler,54,2,3089,147.7,163,4.27,30.56,SRH,8.79
3203,Rohan Verma,24,Sri Lanka,Bowler,59,2,2727,114.7,509,6.47,33.7,KKR,11.73
3204,Pranav Verma,33,India,Bowler,237,11,186,115.6,656,5.0,34.37,GT,15.54
3205,Aditya Sharma,35,South Africa,Batter,261,9,12838,125.7,6,8.52,53.02,MI,15.3
3206,Sameer Chopra,19,India,Allrounder,27,1,1585,125.2,184,5.15,40.45,MI,8.24
3207,Amit Malik,36,India,Batter,47,3,5466,97.9,13,9.22,40.07,SRH,9.37
3208,Sameer Chopra,31,India,Wicketkeeper,58,2,3148,146.2,0,0.0,28.47,CSK,10.14
3209,Rahul Malik,25,Australia,Bowler,77,3,3667,96.1,840,7.33,45.64,KKR,14.71
3210,Sameer Iyer,28,India,Allrounder,115,5,3117,134.4,78,8.27,35.37,CSK,11.41
3211,Nikhil Kulkarni,31,Sri Lanka,Wicketkeeper,18,1,5865,97.7,0,0.0,52.2,MI,6.51
3212,Rahul Singh,35,India,Batter,374,13,4415,96.7,15,7.65,44.14,LSG,14.52
3213,Harshit Deshmukh,21,Australia,Bowler,15,1,554,102.5,390,5.83,27.5,MI,9.86
3214,Sandeep Khan,32,West Indies,Batter,187,11,7740,129.5,2,6.23,41.77,GT,13.31
3215,Irfan Kulkarni,21,England,Wicketkeeper,19,1,10439,125.3,0,0.0,48.6,SRH,13.14
3216,Manoj Naidu,40,England,Bowler,76,3,1558,131.9,381,7.27,20.45,GT,5.98
3217,Vikas Chopra,31,India,Batter,118,4,13439,120.1,15,8.43,39.79,MI,14.58
3218,Rahul Shetty,27,Australia,Wicketkeeper,35,2,6587,133.9,0,0.0,32.26,PBKS,8.25
3219,Ankit Verma,38,India,Batter,105,5,4350,103.0,10,9.21,43.5,CSK,9.65
3220,Manoj Mehta,24,India,Batter,69,3,4088,150.5,13,6.02,23.94,RR,8.21
3221,Ankit Iyer,35,India,Allrounder,262,9,7558,115.0,199,5.33,33.07,DC,15.25
3222,Pranav Singh,20,Sri Lanka,Bowler,17,1,3826,130.1,804,4.81,35.5,SRH,15.64
3223,Arjun Chopra,32,South Africa,Allrounder,249,10,6452,114.2,184,5.12,48.37,DC,13.94
3224,Amit Singh,34,England,Batter,175,8,10396,138.5,11,8.41,44.43,MI,14.16
3225,Ankit Singh,39,Australia,Bowler,232,13,3488,101.0,268,5.18,29.54,GT,9.35
3226,Karthik Iyer,32,South Africa,Batter,199,11,13705,153.8,11,8.91,37.28,RR,15.74
3227,Rohan Reddy,30,Sri Lanka,Batter,92,6,13868,103.4,1,6.03,31.27,CSK,14.61
3228,Rahul Malik,20,India,Allrounder,56,2,4597,99.5,300,7.03,53.02,KKR,11.69
